"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
321,4160.96993732348,4450.87192218095,-10,-119,NA,NA,NA
322,4154.52640887841,4442.31445945619,-10,-118,NA,NA,NA
323,4147.89989306671,4433.61944355986,-10,-118,NA,NA,NA
324,4141.08706467501,4424.76283115565,-10,-117,NA,NA,NA
325,4134.08490216609,4415.69352742595,-10,-117,NA,NA,NA
326,4126.89069152605,4406.44426681578,-10,-116,NA,NA,NA
327,4119.5020292172,4396.99545311827,-10,-115,NA,NA,NA
328,4111.91682422502,4387.38322160386,-10,-115,NA,NA,NA
329,4104.13329918724,4377.54512161545,-10,-115,NA,NA,NA
330,4096.14999059132,4367.53354719907,-10,-114,NA,NA,NA
331,4087.96574802546,4357.37161998471,-10,-113,NA,NA,NA
332,4079.59265699984,4347.01659841284,-10,-112,NA,NA,NA
333,4071.00685714405,4336.48010099081,-10,-111,NA,NA,NA
334,4062.21902690407,4325.77618209353,-10,-111,NA,NA,NA
335,4053.22933963142,4314.9008053089,-10,-110,NA,NA,NA
336,4044.03828224969,4303.84854519724,-10,-109,NA,NA,NA
337,4034.61506491729,4292.62421088025,-10,-108,NA,NA,NA
338,4025.0177592797,4281.23591684816,-10,-108,NA,NA,NA
339,4015.22116757108,4269.69705500162,-10,-107,NA,NA,NA
340,4005.2267545782,4257.99708314581,-10,-106,NA,NA,NA
341,3995.03623169361,4246.14075288979,-10,-105,NA,NA,NA
342,3984.6515427822,4234.13287482767,-10,-104,NA,NA,NA
343,3974.07484801473,4221.97829705701,-10,-103,NA,NA,NA
344,3963.30850527335,4209.68291414533,-10,-102,NA,NA,NA
345,3952.35504857019,4197.25090126131,-10,-101,NA,NA,NA
346,3941.21716267443,4184.68660430568,-10,-100,NA,NA,NA
347,3929.8976527574,4171.99786218491,-10,-100,NA,NA,NA
348,3918.39940720116,4159.186240688,-10,-99,NA,NA,NA
349,3906.72535039417,4146.25894793865,-10,-98,NA,NA,NA
350,3894.87837930517,4133.21291749137,-10,-97,NA,NA,NA
351,3882.86127016106,4120.05572439368,-10,-96,NA,NA,NA
352,3870.67652431371,4106.78648209866,-10,-95,NA,NA,NA
353,3858.32609446767,4093.42139192437,-10,-94,NA,NA,NA
354,3845.81093670633,4079.9486736319,-10,-93,NA,NA,NA
355,3833.12970314793,4066.37072567288,-10,-92,NA,NA,NA
356,3820.27080231046,4052.67956604221,-10,-91,NA,NA,NA
357,3807.24845315225,4038.88677384042,-10,-90,NA,NA,NA
358,3794.07909371971,4025.00568955694,-10,-88,NA,NA,NA
359,3780.77256244945,4011.05437158324,-10,-87,NA,NA,NA
360,3767.33728128487,3997.03539441493,-10,-86,NA,NA,NA
