"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
184,3294.9028366947,3573.79945261771,10,43,NA,NA,NA
185,3273.35093085442,3553.01236317362,10,42,NA,NA,NA
186,3251.49494239615,3531.85490522786,10,42,NA,NA,NA
187,3229.34389300826,3510.35504999368,10,41,NA,NA,NA
188,3206.90717658785,3488.52161370901,10,41,NA,NA,NA
189,3184.1945547343,3466.35484128656,10,40,NA,NA,NA
190,3161.2161516952,3443.87957696618,10,40,NA,NA,NA
191,3137.98244875683,3421.07653489144,10,40,NA,NA,NA
192,3114.5042780717,3397.99167085691,10,39,NA,NA,NA
193,3090.79281591625,3374.606453556,10,39,NA,NA,NA
194,3066.85957537281,3350.94247960652,10,38,NA,NA,NA
195,3042.7163984304,3327.02047256107,10,38,NA,NA,NA
196,3018.3754475003,3302.83088294001,10,38,NA,NA,NA
197,2993.84919634308,3278.40469166284,10,37,NA,NA,NA
198,2969.15042040531,3253.74397888191,10,37,NA,NA,NA
199,2944.29218656526,3228.84931988683,10,37,NA,NA,NA
200,2919.28784228856,3203.77143273579,10,36,NA,NA,NA
201,2894.15100419638,3178.49062718662,10,36,NA,NA,NA
202,2868.89554605039,3153.01913556149,10,35,NA,NA,NA
203,2843.53558616058,3127.40642729493,10,35,NA,NA,NA
204,2818.08547422429,3101.63331475702,10,35,NA,NA,NA
205,2792.55977760656,3075.72246356354,10,34,NA,NA,NA
206,2766.97326707435,3049.70704384033,10,34,NA,NA,NA
207,2741.3409019995,3023.57722680655,10,34,NA,NA,NA
208,2715.67781504765,2997.34944453354,10,34,NA,NA,NA
209,2689.9992963729,2971.06996464111,10,33,NA,NA,NA
210,2664.32077734046,2944.72733032094,10,33,NA,NA,NA
211,2638.65781380228,2918.3367698384,10,33,NA,NA,NA
212,2613.02606895314,2891.92731057155,10,32,NA,NA,NA
213,2587.44129579752,2865.5215568647,10,32,NA,NA,NA
214,2561.91931925993,2839.11972500267,10,32,NA,NA,NA
215,2536.47601797427,2812.7396504735,10,32,NA,NA,NA
216,2511.12730579025,2786.41910556136,10,31,NA,NA,NA
217,2485.88911303715,2760.16243188568,10,31,NA,NA,NA
218,2460.77736758799,2733.98094479595,10,31,NA,NA,NA
219,2435.80797576899,2707.89284049822,10,31,NA,NA,NA
220,2410.99680316161,2681.9419938125,10,30,NA,NA,NA
221,2386.35965534598,2656.12043725683,10,30,NA,NA,NA
222,2361.9122586367,2630.44635716854,10,30,NA,NA,NA
223,2337.67024086286,2604.93787233837,10,30,NA,NA,NA
224,2313.64911224581,2579.63039186648,10,29,NA,NA,NA
225,2289.86424642862,2554.52457562889,10,29,NA,NA,NA
226,2266.33086171221,2529.6423560203,10,29,NA,NA,NA
227,2243.06400255293,2504.99692274823,10,29,NA,NA,NA
228,2220.07852137646,2480.61090500225,10,28,NA,NA,NA
229,2197.38906076254,2456.51070098546,10,28,NA,NA,NA
230,2175.0100360537,2432.69910671798,10,28,NA,NA,NA
231,2152.95561844043,2409.19322033589,10,28,NA,NA,NA
232,2131.23971857324,2386.00989917911,10,28,NA,NA,NA
233,2109.87597074993,2363.16630514754,10,27,NA,NA,NA
234,2088.87771772421,2340.69367589705,10,27,NA,NA,NA
235,2068.2579961786,2318.59188505853,10,27,NA,NA,NA
236,2048.02952290159,2296.87662371665,10,27,NA,NA,NA
237,2028.2046817051,2275.56324008604,10,27,NA,NA,NA
238,2008.79551111464,2254.66697675622,10,27,NA,NA,NA
239,1989.81369286009,2234.20467102717,10,26,NA,NA,NA
240,1971.27054119039,2214.19893430106,10,26,NA,NA,NA
241,1953.17699303094,2194.65258283263,10,26,NA,NA,NA
242,1935.54359899697,2175.57904217087,10,26,NA,NA,NA
243,1918.3805152715,2156.99120340951,10,26,NA,NA,NA
244,1901.69749635082,2138.90150523065,10,26,NA,NA,NA
245,1885.50388865509,2121.32325834483,10,25,NA,NA,NA
246,1869.80862499658,2104.27710321143,10,25,NA,NA,NA
247,1854.62021989232,2087.76297258502,10,25,NA,NA,NA
248,1839.94676570307,2071.7913975982,10,25,NA,NA,NA
249,1825.7959295753,2056.37240751591,10,25,NA,NA,NA
250,1812.17495115801,2041.51552277208,10,25,NA,NA,NA
251,1799.09064106199,2027.22974897075,10,25,NA,NA,NA
252,1786.54938002446,2013.52357182484,10,25,NA,NA,NA
253,1774.55711873872,2000.41107218703,10,24,NA,NA,NA
254,1763.11937830476,1987.8951137371,10,24,NA,NA,NA
255,1752.24125125416,1975.980523427,10,24,NA,NA,NA
256,1741.92740310014,1964.67368413202,10,24,NA,NA,NA
257,1732.18207436198,1953.98044600888,10,24,NA,NA,NA
258,1723.00908301172,1943.90612619656,10,24,NA,NA,NA
259,1714.41182729082,1934.45550915251,10,24,NA,NA,NA
260,1706.39328884409,1925.63284757125,10,24,NA,NA,NA
261,1698.95603611925,1917.44186383251,10,24,NA,NA,NA
262,1692.10222798169,1909.88575192595,10,24,NA,NA,NA
263,1685.83361749579,1902.96717980131,10,24,NA,NA,NA
264,1680.15155582683,1896.68829209429,10,24,NA,NA,NA
265,1675.05699622047,1891.05071318138,10,24,NA,NA,NA
266,1670.55049802024,1886.05555052,10,24,NA,NA,NA
267,1666.6322306877,1881.7033982342,10,24,NA,NA,NA
268,1663.30197779401,1877.99434091054,10,24,NA,NA,NA
269,1660.55914095671,1874.92839503986,10,23,NA,NA,NA
270,1658.40274370022,1872.50398675107,10,23,NA,NA,NA
271,1656.83143522406,1870.71946254592,10,23,NA,NA,NA
272,1655.84349406794,1869.57314595236,10,24,NA,NA,NA
273,1655.4368316683,1869.06328484176,10,24,NA,NA,NA
274,1655.60899580633,1869.18655840211,10,24,NA,NA,NA
275,1656.35717395284,1869.93960334133,10,24,NA,NA,NA
276,1657.67819652016,1871.31858224094,10,24,NA,NA,NA
277,1659.5685400366,1873.319188528,10,24,NA,NA,NA
278,1662.02433026311,1875.93665159935,10,24,NA,NA,NA
279,1665.04134527634,1879.16574212093,10,24,NA,NA,NA
280,1668.61501854593,1883.00077752846,10,24,NA,NA,NA
281,1672.74044203707,1887.43562775942,10,24,NA,NA,NA
282,1677.4123693725,1892.46372124837,10,24,NA,NA,NA
